[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], pant ,[Time], 0.01526784896850586
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.028457164764404297
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.04152727127075195
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.054995059967041016
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.0683739185333252
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.08138489723205566
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09440207481384277
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10734677314758301
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.12079811096191406
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.1337871551513672
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], sweater ,[Time], 0.14860296249389648
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.16407465934753418
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17956066131591797
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.1947774887084961
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2095935344696045
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.22436285018920898
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.239027738571167
