[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], towel ,[Time], 0.014606237411499023
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.02757406234741211
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.0404362678527832
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05370926856994629
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06667399406433105
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.0794680118560791
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09279131889343262
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10578560829162598
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11913537979125977
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13192510604858398
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], None ,[Time], 0.1466083526611328
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], None ,[Time], 0.16206884384155273
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], None ,[Time], 0.1774301528930664
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], sweater ,[Time], 0.19259428977966309
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.20734286308288574
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], None ,[Time], 0.2221229076385498
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], sweater ,[Time], 0.23652195930480957
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2514200210571289
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], sweater ,[Time], 0.26512932777404785
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.27851104736328125
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.29291653633117676
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3066089153289795
