[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], towel ,[Time], 0.01446390151977539
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.027284860610961914
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03999686241149902
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05314207077026367
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06632757186889648
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.0792691707611084
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09220123291015625
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.1051335334777832
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11800146102905273
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13095426559448242
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], pant ,[Time], 0.14545679092407227
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], sweater ,[Time], 0.15996026992797852
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17487454414367676
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], sweater ,[Time], 0.18941998481750488
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.20339584350585938
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2173750400543213
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2320866584777832
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2470090389251709
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2609546184539795
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.27430105209350586
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.28836798667907715
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.30229711532592773
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3167994022369385
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.33024072647094727
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3440845012664795
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3578670024871826
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.37179136276245117
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3853156566619873
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3994920253753662
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4130675792694092
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.42563891410827637
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.4383542537689209
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.45089173316955566
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.4634857177734375
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.4763298034667969
