[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], towel ,[Time], 0.014449596405029297
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.027069091796875
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.03975987434387207
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.052832841873168945
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.0661933422088623
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.07916998863220215
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.09223818778991699
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10520482063293457
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11833477020263672
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13129258155822754
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], pant ,[Time], 0.14588046073913574
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], sweater ,[Time], 0.16093707084655762
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17595815658569336
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], sweater ,[Time], 0.1905653476715088
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2049567699432373
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], sweater ,[Time], 0.21917247772216797
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], sweater ,[Time], 0.23322463035583496
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], sweater ,[Time], 0.2480602264404297
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], sweater ,[Time], 0.26187801361083984
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2749044895172119
