[train]: no. 01 ,bandwidth, 95 ,[video_idx], 41 ,[Category], pant ,[Pred], sweater ,[Time], 0.014837503433227539
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 42 ,[Category], pant ,[Pred], pant ,[Time], 0.028172016143798828
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 43 ,[Category], pant ,[Pred], pant ,[Time], 0.04094719886779785
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 44 ,[Category], pant ,[Pred], pant ,[Time], 0.05398988723754883
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 45 ,[Category], pant ,[Pred], pant ,[Time], 0.06720614433288574
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 46 ,[Category], pant ,[Pred], pant ,[Time], 0.08008527755737305
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 47 ,[Category], pant ,[Pred], pant ,[Time], 0.0930790901184082
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 48 ,[Category], pant ,[Pred], pant ,[Time], 0.10584592819213867
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 49 ,[Category], pant ,[Pred], pant ,[Time], 0.11892509460449219
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 50 ,[Category], pant ,[Pred], pant ,[Time], 0.13164186477661133
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 81 ,[Category], shirt ,[Pred], pant ,[Time], 0.14637207984924316
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 82 ,[Category], shirt ,[Pred], shirt ,[Time], 0.16156554222106934
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 83 ,[Category], shirt ,[Pred], shirt ,[Time], 0.17670512199401855
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 84 ,[Category], shirt ,[Pred], shirt ,[Time], 0.19138288497924805
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 85 ,[Category], shirt ,[Pred], sweater ,[Time], 0.20567584037780762
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 86 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2199718952178955
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 87 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2342691421508789
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 88 ,[Category], shirt ,[Pred], sweater ,[Time], 0.24933171272277832
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 89 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2632155418395996
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 90 ,[Category], shirt ,[Pred], shirt ,[Time], 0.2763218879699707
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 121 ,[Category], sweater ,[Pred], sweater ,[Time], 0.29128408432006836
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 122 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3047366142272949
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 123 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3187985420227051
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 124 ,[Category], sweater ,[Pred], sweater ,[Time], 0.332242488861084
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 125 ,[Category], sweater ,[Pred], sweater ,[Time], 0.34612131118774414
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 126 ,[Category], sweater ,[Pred], sweater ,[Time], 0.3593027591705322
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 127 ,[Category], sweater ,[Pred], sweater ,[Time], 0.37352848052978516
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 128 ,[Category], sweater ,[Pred], sweater ,[Time], 0.38654279708862305
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 129 ,[Category], sweater ,[Pred], sweater ,[Time], 0.4009695053100586
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 130 ,[Category], sweater ,[Pred], sweater ,[Time], 0.41474103927612305
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 161 ,[Category], towel ,[Pred], towel ,[Time], 0.42797255516052246
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 162 ,[Category], towel ,[Pred], towel ,[Time], 0.44113779067993164
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 163 ,[Category], towel ,[Pred], towel ,[Time], 0.45417046546936035
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 164 ,[Category], towel ,[Pred], towel ,[Time], 0.466977596282959
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 165 ,[Category], towel ,[Pred], towel ,[Time], 0.48003530502319336
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 166 ,[Category], towel ,[Pred], towel ,[Time], 0.4928767681121826
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 167 ,[Category], towel ,[Pred], towel ,[Time], 0.5055146217346191
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 168 ,[Category], towel ,[Pred], towel ,[Time], 0.5187664031982422
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 169 ,[Category], towel ,[Pred], towel ,[Time], 0.5320992469787598
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 170 ,[Category], towel ,[Pred], towel ,[Time], 0.5451984405517578
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 201 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5580191612243652
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 202 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5720186233520508
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 203 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5858478546142578
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 204 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.5991542339324951
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 205 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.6114637851715088
[train]: no. 01 ,bandwidth, 95 ,[video_idx], 206 ,[Category], tshirt ,[Pred], tshirt ,[Time], 0.625493049621582
