Optical-flow_early-stop    Optical-flow_continuous-perception    Frame_early-stop    Frame_continuous-perception
0.88                              0.92                              0.875                              0.975
0.93                              0.97                              0.92                              0.975
0.94                              0.97                              0.92                              0.97
0.945                              0.965                              0.89                              0.97
0.93                              0.97                              0.855                              0.97
0.92                              0.95                              0.82                              0.96
0.93                              0.95                              0.735                              0.95
0.94                              0.945                              0.67                              0.94
0.93                              0.93                              0.55                              0.925
0.905                              0.9                              0.495                              0.92
0.885                              0.88                              0.415                              0.905
0.88                              0.87                              0.35                              0.885
0.845                              0.845                              0.29                              0.87
0.825                              0.82                              0.21                              0.85
0.77                              0.775                              0.16                              0.805
0.705                              0.695                              0.1                              0.735
0.635                              0.615                              0.08                              0.66
0.49                              0.5                              0.03                              0.55
0.335                              0.34                              0.0                              0.36
